random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
1,acel,5,f,acel5f,12.71,11.42,,,,,,
2,acel,5,a,acel5a,10.12,7.17,,,,,,
3,acel,2,b,acel2b,12.02,7.48,,,,,,
4,acel,1,b,acel1b,11.32,8.98,,,,,,
5,acel,2,c,acel2c,12.04,7.28,,,,,,
6,acel,5,k,acel5k,16.9,20.99,,,,,,
7,acel,2,e,acel2e,12.55,7.6,,,,,,
8,acel,5,l,acel5l,17.35,17.99,,,,,,
9,acel,1,h,acel1h,15.69,14.04,,,,,,
10,acel,2,f,acel2f,11.94,6.91,,,,,,
11,acel,5,h,acel5h,12.94,10.97,,,,,,
12,acel,2,g,acel2g,12.1,7.4,,,,,,
13,acel,5,d,acel5d,11.43,7.85,,,,,,
14,acel,1,a,acel1a,11.24,7.53,,,,,,
15,acel,5,e,acel5e,11.2,9.48,,,,,,
16,acel,1,k,acel1k,15.86,14.36,,,,,,
17,acel,1,l,acel1l,16.29,14.25,,,,,,
18,acel,1,c,acel1c,14.49,11.4,,,,,,
19,acel,1,f,acel1f,14.74,12.92,,,,,,
20,acel,2,a,acel2a,10.72,6.26,,,,,,
21,acel,1,d,acel1d,14.46,12.58,,,,,,
22,acel,5,c,acel5c,11.46,7.91,,,,,,
23,acel,2,i,acel2i,11.89,6.97,,,,,,
24,acel,2,h,acel2h,12.1,7.42,,,,,,
25,acel,5,j,acel5j,13.58,11.55,,,,,,
26,acel,1,e,acel1e,14.59,12.21,,,,,,
27,acel,2,d,acel2d,11.54,7.05,,,,,,
28,acel,5,i,acel5i,13.47,11.18,,,,,,
29,acel,1,g,acel1g,15.33,12.5,,,,,,
30,acel,2,l,acel2l,13.12,8.9,,,,,,
31,acel,5,b,acel5b,10.85,7.74,9.91,7.06,4.03,0.97,,
32,acel,5,g,acel5g,14.67,12.22,,,,,7.67,
33,acel,2,k,acel2k,12.18,8.17,,,,,5.56,
34,acel,1,i,acel1i,15.64,14.36,12.84,11.96,6.7,3.15,,
35,acel,1,j,acel1j,15.83,13.92,13.42,11.78,6.43,3.12,,
36,acel,2,j,acel2j,11.87,7.49,,,,,5.14,
1,acpa,4,k,acpa4k,14.04,14.8,,,,,,
2,acpa,3,e,acpa3e,15.74,19.4,,,,,,
3,acpa,4,c,acpa4c,18.3,25.43,,,,,,
4,acpa,4,b,acpa4b,16.36,19.35,,,,,,
5,acpa,4,d,acpa4d,18.53,26.29,,,,,,
6,acpa,3,i,acpa3i,17.14,20.03,,,,,,
7,acpa,3,d,acpa3d,15.48,20.2,,,,,,
8,acpa,3,k,acpa3k,11.14,10.02,,,,,,
9,acpa,4,f,acpa4f,19.45,27.93,,,,,,
10,acpa,3,c,acpa3c,15.17,18.24,,,,,,
11,acpa,3,b,acpa3b,14.75,16.98,,,,,,
12,acpa,1,d,acpa1d,15.09,16.56,,,,,,
13,acpa,1,a,acpa1a,14.78,16.86,,,,,,
14,acpa,4,g,acpa4g,18.09,23.39,,,,,,
15,acpa,1,g,acpa1g,10.89,9.47,,,,,,
16,acpa,3,f,acpa3f,15.22,19.19,,,,,,
17,acpa,1,e,acpa1e,18.91,27.06,,,,,,
18,acpa,3,a,acpa3a,15.38,15.4,,,,,,
19,acpa,3,l,acpa3l,11.25,10.72,,,,,,
20,acpa,1,k,acpa1k,12.59,13.37,,,,,,
21,acpa,1,c,acpa1c,18.59,26.99,,,,,,
22,acpa,1,i,acpa1i,11.95,11.93,,,,,,
23,acpa,4,e,acpa4e,19.41,28.32,,,,,,
24,acpa,4,h,acpa4h,13.5,13.83,,,,,,
25,acpa,4,l,acpa4l,15.17,19.48,,,,,,
26,acpa,4,i,acpa4i,14.39,15.47,,,,,,
27,acpa,4,a,acpa4a,15.27,18.81,,,,,,
28,acpa,4,j,acpa4j,14.65,16.7,,,,,,
29,acpa,1,b,acpa1b,15.76,16.97,,,,,,
30,acpa,1,j,acpa1j,12.16,12.37,,,,,,
31,acpa,1,f,acpa1f,19.51,30.04,,,,,19.75,
32,acpa,3,h,acpa3h,16.26,21.19,15.29,16.15,11.8,1.49,,
33,acpa,3,j,acpa3j,11.57,9.6,9.37,6.01,4,2.03,,
34,acpa,1,h,acpa1h,11.49,10.43,,,,,6.77,
35,acpa,3,g,acpa3g,15.78,19.82,13.91,13.47,9.48,2.95,,
36,acpa,1,l,acpa1l,13.26,13.12,,,,,8.46,
1,alli,3,d,alli3d,11.28,11.6,,,,,,
