order,unique,drill,wetWeight ,fruitingBodies ,wetWeightExcess,drilledWeight ,volMass ,volMassRetained ,insectDamage ,dryMass
1,LEPA45,yes,94.35,,,92.19,107.08,18.3,,70.29
7,cota2d,yes,6.7,,,6.08,6.81,1.68,,4.96
13,eusc2d,yes,6.05,,,5.64,7.31,1.26,,4.78
28,baae3i,yes,5.85,,,5.41,7.44,1.58,,4.4
36,basp2c,yes,6.15,,,5.62,6.19,1.19,1 small,4.54
45,acel2b,yes,6.1,,,5.54,6.75,2.17,1 small,4.56
46,eute1b,yes,12.54,,,11.98,18.17,2.63,,9.42
51,cota3d,yes,4.05,,,3.65,4.22,1.61,,3.1
52,anba1l,yes,10.08,,,9.51,15.55,3.19,,7.47
57,peli2k,yes,9.59,,,9.08,13.4,2.3,,7.24
59,ACPA18,yes,258.17,,,256.47,291.78,7.11,,221.29
61,olst1j,yes,16.38,,,15.77,22.8,1.52,,13.06
62,ALLI315,yes,206.83,,,204.46,245.46,10.95,,169.97
65,cali3f,yes,8.13,,,7.52,10.12,1.46,,6.26
67,lepa2f,yes,10.4,,,9.49,11,3.47,,7.4
71,hase1j,yes,19.41,,,18.7,22.71,3.47,,14.68
74,baae3b,yes,11.76,,,11.23,14.63,3.03,,8.54
78,olst1i,yes,15.72,,,15.07,21.08,2.26,"1 lg, 5mm diam",12.66
81,ALLI19,yes,280.12,,,277.59,337.6,21.15,,227.35
93,leer6c,yes,5.34,,,4.95,5.62,0.92,,4.27
95,ACPA12,yes,324.47,,,321.48,315.45,13.26,,280.4
97,lepa1j,yes,9.86,,,9.02,12.98,0.24,,6.95
106,cota3b,yes,4.95,,,4.37,4.99,2.13,,3.62
114,baae3h,yes,5.5,,,5.08,6.65,1.89,2 small,4.14
117,cali3j,yes,14.35,,,13.6,17.91,2.21,,11.35
126,cali3a,yes,4.44,,,4.1,5.04,1.27,,3.41
128,MEDE311,yes,181.06,,,178.15,229.55,27,510 small,120.17
140,EUTE19,yes,337.47,,,334.1,398.85,12.62,,281.57
142,eute3d,yes,5.89,,,5.43,8.16,1.98,,4.42
146,ripi2i,yes,12.73,,,12.34,19.85,1.7,,10.73
149,acpa3d,yes,14.11,,,13.6,16.22,1.15,,11.66
167,EUTE31,yes,177.95,,,175.05,212.87,8.03,,144.78
166,ACPA311,yes,183.6,,,181.6,208.73,4.5,,159.6
173,lepa1a,yes,14.96,,,13.65,15.03,5.51,,10.02
176,peli3h,yes,7.14,,,6.63,9.16,1.59,,5.57
177,lepa3d,no,5.99,,,5.35,6.07,2.36,1 small,4.22
187,hase3e,yes,19.9,,,19.13,23.24,4.02,,15.14
189,PELI311,yes,199.51,,,196.24,254.2,31,,142.82
193,ANBA311,yes,160.18,,,156.7,299.7,28.28,,117.8
196,ACPA42,no,273.46,,,271.12,283.43,9.02,,233.78
198,LEPA37,yes,184.75,,,181.65,201.36,29.18,,139.8
205,EXCU27,yes,154.55,,,152.74,204.65,10.32,,126.71
209,EXCU28,yes,168.86,,,164.94,217.67,11.17,,137.98
210,EUSC31,yes,261.54,,,259.03,413.96,10.67,,208.27
212,eusc1f,yes,7.46,,,7.08,9.54,1.77,,5.71
232,leer8d,yes,18.03,,,17.28,20.92,2.08,,14.46
233,PELI25,yes,88.05,,,86.04,118.29,8.66,,68.63
234,leer8a,yes,6.32,,,5.98,7.32,1,,5.06
243,eute2l,yes,11.54,,,11.03,15.11,1.75,,9.02
254,JASC319,yes,165.49,,,162.02,206,16.77,,124.1
263,EUTE312,yes,275.21,,,272.88,302.85,7.86,,232.12
267,EUSC213,yes,182.18,,,178.22,282.5,6.77,,143.27
271,ripi1i,yes,8.34,,,7.95,13.86,1.73,,6.74
275,ripi2g,yes,10.23,,,9.82,16.52,2,,8.31
277,cota1e,no,4.77,,,4.35,4.95,1.46,,3.49
279,anba1j,yes,6.28,,,5.84,9.41,2.28,,4.54
282,JASC28,yes,158.05,,,155.38,225.56,14.66,,126.69
283,isan3d,yes,4.51,,,3.58,4.01,1.16,,3.22
305,ANBA23,yes,190.21,,,185.58,383.42,38.8,,131.97
306,isan3c,yes,3.92,,,3.56,4.03,1.15,,2.86
307,baae1c,no,14.52,,,13.47,18.26,3.44,,9.15
315,anba1a,yes,8.54,,,8.05,13.49,3.73,,5.82
318,acpa1a,yes,12.14,,,11.68,13.89,1,,10.07
319,alli2b,yes,13.23,,,12.77,16.7,1.18,,10.85
329,jasc3e,yes,7.27,,,6.72,8.36,1.49,,5.32
342,mede2a,yes,5.25,,,4.72,6.41,1.31,,3.85
344,PEPU212,yes,178.89,,,176.61,213.02,13.33,,135.94
346,penu1b,yes,5.52,,,5.18,6.41,1.56,,4.18
352,MEDE111,yes,185.94,,,182.57,238.6,35.88,510 small,117.66
354,JASC316,yes,173.63,,,169.9,210.52,16.39,,136.26
355,ALLI211,yes,194.38,,,192.1,251.26,18.52,,158.85
356,pepu1g,yes,18.32,,,17.72,22.28,2.43,,13.9
357,olst1a,yes,5.2,,,4.82,6.43,1.15,,4.05
361,EXCU16,yes,129.72,,,127.67,161.22,9.37,,104.19
362,leer5b,no,4.88,,,4.54,5.44,0.68,,3.9
367,MEDE211,yes,314.01,,,311.18,402.6,38,1020 small,222.28
378,acel1l,yes,11.38,,,10.92,14.88,1.64,,9.2
387,hase2h,yes,12.19,,,11.74,15.19,2,,9.5
398,olst4f,no,7.16,,,6.75,9.09,1.4,,5.55
400,EUTE11,no,383.91,,,381.02,445.31,14.38,,323.14
407,mede1g,yes,9.89,,,9.25,13.62,3.27,,6.89
415,acpa3f,yes,13.44,,,12.95,16.96,0.33,,11.03
421,cali1h,no,12.02,,,11.33,14.95,1.69,,9.43
436,leer9c,no,5.28,,,4.98,5.77,0.75,,4.2
439,excu2f,yes,10.69,,,10.17,12.8,1.4,,8.6
440,olst2i,no,,,,,9.67,0.61,,5.91
441,ACPA36,no,,,,,235.92,4.45,,182.18
444,jasc1b,yes,7.49,,,6.78,9.28,1.87,,5.3
452,ripi3c,no,,,,,10.36,0.49,,5.03
454,ALLI38,no,,,,,293.77,14.82,,204.26
456,isan5a,yes,9.71,,,9.16,10.5,1.87,,7.3
460,excu2k,yes,5.88,,,5.46,6.83,1.07,,4.49
468,EUSC112,yes,226.81,,,224.15,350.38,18.23,,183.18
473,mede3h,yes,4.42,,,4.04,5.28,1.34,,3.25
493,acpa3l,no,,,,,9.12,0.35,,6.45
498,mede1d,no,,,,,9.15,1.15,,5.02
501,excu2d,yes,15.83,,,15.21,18.73,1.73,,12.58
502,acpa1k,no,,,,,11.45,0.41,,8.13
510,ripi3d,no,,,,,10.1,0.45,,5.05
513,hase3k,no,,,,,9.1,0.62,,6.09
516,cali1c,no,,,,,9.61,0.55,,6.1
532,LEPA13,yes,115.16,,,107.84,123.9,19.59,,83.77
534,cota2h,no,,,, ,5.18,0.89,,3.78
545,acpa1i,no,,,,,10.18,0.44,,7.38
547,ACPA16,no,,,,,284.28,8.04,,216.87
552,basp1e,yes,5.37,,,5,5.55,1.16,,3.88
553,baae1b,no,,,,,24.24,2.66,,12.25
558,pepu3g,yes,21.14,,,20.5,24.18,2.43,,16.03
568,MEDE16,no,,,,,260.65,32.83,15 small,129.13
571,EUSC34,no,,,,,367.6,16.47,,196.71
577,excu1h,no,,,,,12.4,0.79,,8.65
580,BAAE39,yes,221.45,,,218.13,310.57,27.69,,152.16
581,BAAE311,yes,287.75,,,284.03,388.5,30.16,,202.25
586,peli1l,yes,15.7,,,14.42,21.51,3.47,,10.86
605,BAAE13,yes,152.93,,,149.7,221.96,18.99,,101.6
609,eute2g,no,,,,,9.05,0.4,,4.71
615,isan5f,no,,,,,23.71,2.25,,17.27
619,PELI16,yes,268.05,,,245.5,317.7,29.88,,198.02
620,penu3g,yes,5.81,,,5.39,6.75,1.59,,4.36
622,LEPA25,no,,,,,124.93,16.26,,77.96
629,jasc1h,yes,10.19,,,9.35,13.6,2.05,,7.21
635,acel2i,yes,5.38,,,5.12,7.53,1.05,,4.46
638,basp1g,yes,9.1,,,8.67,9.72,1.53,,6.8
649,PELI34,no,,,,,352.05,17.18,full of sm ants,201.45
653,ANBA112,yes,132.97,,,129.58,255.57,29.03,,85.77
666,ripi3e,no,,,,,11.54,0.5,,5.82
669,peli2j,no,,,,,12.79,0.86,,7.37
670,alli1b,yes,8.38,,,7.91,9.37,1.29,,6.74
675,acel5j,no,,,,,11.7,0.35,,7.02
684,eusc1a,yes,7.26,,,6.82,8.16,1.24,,5.6
685,pepu3d,yes,18,,,17.52,21.31,2.09,,14.15
686,hase2g,no,,,,,11.9,0.78,,7.88
690,basp2h,no,,,, ,17.56,0.66,,12.42
692,PELI35,no,,,, ,350.03,14.29,,199.45
699,ANBA33,no,,,,,419.37,16.31,,164.33
701,BAAE15,no,,,, ,193.12,15.54,,92.87
705,pepu2g,no,,,,,17.79,1.03,,12.75
711,PEPU110,yes,154.49,,,152.42,201.28,5.67,,128.24
712,EUTE23,no,,,,,253.86,5.36,,168.8
713,MEDE27,no,,,,,338.61,29.16,2025 small,194.27
720,anba2a,no,,,,,15.09,0.76,,7.54
725,eusc3l,no, ,,,,14.05,2.43,,9.01
731,JASC113,no,,,,,204.64,13.42,,131
737,LEPA35,no,,,,,271.45,28.03,15 small,173.83
741,EXCU39,no,,,,,195.37,7.43,,123.77
750,olst2f,no,,,,,18.63,0.71,,11.06
751,lepa3k,no,,,,,23.47,3.86,,14.5
752,jasc2e,no,,,,,8.19,0.96,15 small,4.14
754,isan4c,no,,,,,7.75,1.12,,5.6
760,JASC115,no,,,,,203.21,12.54,,128.04
765,BAAE212,no,,,,,211.04,15.65,,96.91
768,acel2d,no,,,,,8.48,0.33,,4.72
776,eusc2h,no,,,,,7.74,0.45,,5.04
782,EUSC314,no,,,,,435.03,28.19,,234.45
791,pepu2d,no,,,,,18.8,0.82,,13.6
793,EUTE32,no,,,,,208.08,5.34,,146.96
805,cota1c,no,,,,,5.15,0.99,,3.62
813,eute3b,no,,,,,9.54,0.56,,5
814,LEPA12,no,,,,,160.94,16.07,,103.67
816,alli1g,yes,17.39,,,16.85,20.61,2.1,,14.58
831,penu3d,yes,10.13,,,9.64,12.4,2.13,,7.89
834,EXCU313,no,,,,,204.08,8.3,,131.9
836,penu3h,no,,,,,4.78,0.42,,3.11
