order,unique,drill,wetWeight ,fruitingBodies ,wetWeightExcess,drilledWeight ,volMass ,volMassRetained ,insectDamage ,dryMass,notes
5,EXCU13,yes,181.79,,,180.24,208,11.46,,131.71,
6,PEPU23,yes,242,,,241.34,297.45,16.38,,168.94,
9,alli3d,yes,9.15,,,8.89,10.02,0.56,,6.28,
12,basp2k,yes,16.55,,,16.06,19.75,2.35,,10.32,
15,ripi3i,yes,9.25,,,8.96,14.77,1.09,,5.39,
19,ALLI316,yes,215.54,,,214.54,253,10.53,,160.09,
20,jasc2f,yes,6.64,,,6.22,7.74,1.17,,3.12,
22,jasc3i,yes,5.42,,,5.08,6.25,0.94,,2.98,
23,ripi1c,yes,6.41,,,6.18,11.4,0.98,,4.16,
24,PELI17,yes,204.75,,,203.95,261.9,19.2,,118.74,
32,eute2c,yes,4.85,,,4.54,7.06,1.3,,2.35,
39,mede3g,yes,20.29,,,19.89,24.02,2.79,,11.77,
47,lepa2c,yes,12.15,,,11.78,10.98,2.17,,7.11,
63,hase3f,yes,20.27,"small, white, fan-shaped",,19.82,24.6,1.88,,12.63,
79,ANBA215,yes,141.39,,,140.66,256.8,18.06,,78.52,
82,baae2c,yes,10.65,,,10.25,13.03,1.26,,5.58,
83,ALLI212,yes,205.08,,,204.3,251.76,8.48,,133.87,
86,jasc1f,yes,6.78,,,6.28,7.1,1.06,,3.25,
91,eute3f,yes,8.91,,,8.54,9.6,1.17,,4.89,
94,leer8f,yes,4.13,,,3.87,4.61,0.56,,2.76,
98,peli3l,yes,8.87,,,8.58,11.33,1.49,,5.37,
101,hase3d,yes,18.18,,,17.77,25.69,1.99,,9.85,
102,BAAE316,yes,185.98,,,185,227.6,14.6,,97.62,
108,MEDE216,yes,387.1,,,386.31,493.3,44.87,"30-35 holes, varied",227.02,
110,penu1d,yes,8.08,,,7.71,8.86,1.11,,4.54,
120,JASC318,yes,198.64,,,197.93,224.7,12.62,,123.21,
134,hase1l,yes,20.38,,,19.92,24.44,1.91,,10.49,
135,JASC21,yes,295.37,,,294.51,391.5,20.2,,199.01,
138,JASC17,yes,244,,,243.08,301.73,14.75,,154.22,
139,anba1h,yes,14.16,,,13.68,15.85,1.68,,5.95,
152,lepa2j,yes,6.44,,0.31,6,5.02,1.48,,3.74,
154,EUSC19,yes,206.08,,,205.4,278.64,11.42,,128.06,
155,EUSC113,yes,256.19,,,255.52,355,15.25,,165.4,
156,acel2e,yes,6.42,,,6.24,8.67,1.02,,4.13,
158,basp3m,yes,14.88,,,14.41,15.77,0.76,,8.53,
165,mede3k,yes,9.39,,,9.01,10.37,1.63,,4.87,
182,ALLI23,yes,290.99,,,289.93,361.62,16.86,,188.05,
183,excu1a,yes,15.17,,,14.74,16.72,0.98,,9.22,
186,BAAE35,yes,444.44,,,443.2,505.45,35.92,,244.48,
194,baae1g,yes,7.57,,,7.05,7.8,1.43,,3.93,
201,acel1h,yes,12.57,,,12.29,15.4,1.29,,8.01,
202,pepu1f,yes,17.54,,,17.31,24.25,3.22,,7.97,
206,penu2h,yes,13.29,,,12.97,22.13,1.9,,7.35,
211,eute3i,yes,8.22,,,7.82,9.45,1.1,,3.97,
213,eusc1k,yes,8.96,,,8.53,8.9,0.84,,4.75,
214,eusc1g,yes,11.29,,,10.88,12.19,1.69,,6.17,
218,ANBA38,yes,240.22,,,239.3,349.48,23.13,,119.43,
224,acpa3c,yes,13.77,,,13.44,15.62,0.86,,9.86,
229,excu3f,yes,21.66,,,21.17,23.91,1.84,,14.56,
237,ANBA316,yes,142.36,,,141.59,200.68,13.63,,63.66,
239,acpa3b,yes,13.27,,,12.92,14.68,0.68,,8.99,
241,leer5a,yes,12.37,,,11.98,11.77,1.16,,7.4,
244,PELI117,yes,436.96,,,435.38,497.25,42.6,,297.24,
245,isan1d,yes,9.6,,,9.24,9.25,0.98,,5.77,
249,excu1d,yes,23.25,,,22.67,23,1.97,,15.32,
256,excu1g,no,,,,,14.85,0.98,,8.53,
269,acel1a,yes,5.81,,,5.49,7.3,1,,4.33,
272,PELI313,yes,209.46,,,208.22,265.5,30.62,,149.59,
274,olst4h,yes,4.9,,,4.56,5.77,1.85,,3.23,
300,jasc2k,no,,,,,8.5,1.01,,4.12,
325,LEPA22,yes,112.72,,,111.68,112.3,16.84,,73.59,
328,eute3g,no,,,,,9.27,0.49,,4.6,
336,cali3k,yes,16.4,,,15.89,20,1.91,,12.27,
351,olst4e,yes,7.68,,,7.29,8.68,1.29,,4.79,
364,MEDE22,yes,237.73,,,236.71,281.89,44.13,,139.82,
380,ALLI113,no,,,,,238.35,12.02,,133.33,
381,jasc1l,no,,,,,12.41,1.43,,5.39,
383,LEPA15,yes,114.53,,,113.4,112.85,19.67,,68.84,
384,JASC26,no,,,,,250.39,16.67,,130.54,
391,cota1b,yes,5.02,,,4.63,5.14,1.4,,3.34,
405,LEPA19,yes,111.67,,,110.48,111.67,21.88,,68.62,
410,EUTE316,yes,299.78,,,298.94,339.17,17.53,,223.77,
412,mede2c,yes,7.51,,,7.19,9.51,1.22,,4.48,
414,BAAE26,yes,205.6,,,204.19,257.06,31.33,,108.68,
429,jasc1i,no,,,,,14.32,1.78,,6.41,
432,basp3i,yes,6.64,,,6.24,6.59,0.96,,3.81,
438,basp2g,no,,,,,8.23,0.59,,4.49,
446,JASC23,no,,,,,294.24,21.12,,152.37,
448,EUSC11,yes,106.24,,,105.52,158.25,15.67,,74.31,
457,PEPU38,yes,193.07,,,192.46,218.3,14.73,,129.57,
458,acel2a,no,,,,,6.28,1.16,,3.59,
462,pepu2a,yes,15.84,,,15.45,16.75,1.14,,10.19,
464,isan1i,yes,6.72,,,6.37,6.91,1,,4.67,
467,pepu1i,yes,9.61,,,9.27,8.75,1.14,,4.87,
470,pepu1c,no,,,,,23.63,1.65,,14.05,
472,acpa1e,yes,21.43,,,20.96,23.61,1.04,,15.13,
475,EUSC111,no,,,,,350.01,21.27,"ants, springtails under bark",173.87,
477,acel1d,no,,,,,13.96,0.68,,8.06,
479,cali1g,yes,13.39,,,13.02,16,1.71,,9.07,
480,alli2l,yes,20.34,,,19.96,25.55,1.37,,15.21,
482,mede2h,no,,,,,21.78,2.19,,9.41,
489,acpa3a,no,,,,,12.72,0.57,,8.58,
491,isan2b,yes,5.37,,,5.09,5.51,0.75,,3.39,
496,leer7c,yes,5.82,,,5.51,6.38,0.73,,4.21,
500,ANBA31,no,,,,,471.03,33.91,,173.39,
505,lepa2k,yes,7.61,,,7.22,7.74,3.08,,5.04,
507,ACPA411,yes,174.36,,,173.6,187.66,7.21,,139.52,
509,EUTE34,yes,255.94,,,255,302.15,10.27,,193.31,
514,LEPA33,no,,,,,260.68,39.04,,158.33,
517,hase1h,no,,,,,20.59,1.11,,10.99,
518,cali3b,yes,5.41,,,5.12,5.89,0.96,,3.54,
519,ANBA26,no,,,,,360.39,28.18,,108.99,
520,mede2d,no,,,,,8.41,0.69,,4.2,
521,ACPA315,yes,195.64,,,194.68,216.46,6.25,,154.38,
528,penu2i,yes,15.93,,,15.54,20.12,2.48,,10.64,
539,alli1h,yes,12.07,,,11.75,13.31,0.92,,9.04,
564,LEPA47,no,,,,,128.18,16.2,,72,
567,pepu3b,no,,,,,19.7,0.91,,11.22,
572,leer8b,no,,,,,6.92,0.24,,4.24,
573,peli1i,yes,6.87,,,6.52,9.3,1.52,,4.95,
575,lepa1e,no,,,,,7.68,0.65,,4.19,
576,MEDE19,yes,188.65,,,187.7,218.7,55.76,,104.35,
579,hase3b,no,,,,,25.3,0.83,,13.41,
590,PEPU35,yes,235.6,,,234.49,273.55,26.45,,162.64,
597,ACPA314,yes,189.67,,,188.65,207.27,4.98,,145.3,
606,cali3c,no,,,,,7.25,0.5,,3.62,
614,cota1f,yes,4.78,,,4.5,5.2,1.28,,3.52,
621,EXCU38,yes,176.26,,,175.08,213.74,11.94,,132.3,
623,EUTE33,yes,285.07,,,284.11,321.72,12.79,,217.94,
625,EUSC29,no,,,,,293.57,8.46,,141.15,
630,ripi3f,yes,6.58,,,6.3,10.3,1.6,,4.7,
640,pepu3f,no,,,,,24.88,0.4,,13.47,
642,ACPA35,no,,,,,290.7,3.18,,205.32,
643,MEDE310,no,,,,,276.26,7.04,,132.08,
651,ANBA19,no,,,,,338.22,14.83,,92.83,
652,anba2c,yes,9.98,,,9.55,14.5,2.68,,6.2,
654,isan1a,no,,,,,10.12,0.61,,6.09,
657,eusc3b,yes,4.26,,,3.92,4.85,0.96,,2.76,
659,olst4c,yes,7.23,,,6.83,9.2,1.35,,5.77,
661,leer4b,no,,,,,8.74,0.37,,5.66,
673,acel2h,no,,,,,9.63,0.24,,4.7,
676,eusc3e,no,,,,,9.37,0.42,,4.79,
680,hase2c,no,,,,,10.53,0.34,,5.74,
683,PELI110,no,,,,,336.31,15.04,,180.58,
689,EUTE314,no,,,,,357.23,9.77,,234.84,
694,eusc1i,no,,,,,17.21,0.5,,8.03,
704,PEPU37,no,,,,,248.46,4.56,,135.91,
707,peli1b,yes,20.95,"orange, fibrous fungus",,20.4,19.49,7.39,,10.76,
708,eute3k,no,,"orange, fibrous fungus",,,22.01,0.67,,8.81,
709,EUSC32,no,,"orange, fibrous fungus",,,377.53,9.43,ant nest under bark,164,
716,penu2a,no,,,,,9.67,0.38,,3.7,
717,PEPU12,no,,,,,290.38,10.21,,150.94,
733,penu5a,no,,,,,10.75,0.84,,5.91,
739,ripi3a,no,,,,,10.4,0.42,,4.08,
740,ACPA48,no,,,,,215.8,5.17,,157.66,
742,leer7b,no,,,,,7.7,0.34,,4.74,
746,anba3j,yes,8.22,,,7.43,10.59,2.72,,5.51,
763,peli2h,no,,,,,12.27,0.82,,6.36,
764,MEDE24,no,,,,,336.19,27.35,"15-20 holes, varied",160.27,"lay out of position, next to plot"
771,isan2f,no,,,,,6.83,0.39,,3.69,
777,cali1k,no,,,,,20.55,1.34,,12.53,
779,alli2g,no,,,,,16.5,0.56,,9.62,
784,olst4b,no,,,,,14.05,0.91,,7.37,
790,EXCU312,yes,153.34,,,152.38,190.82,12.48,,114.88,
800,peli1d,no,,,,,19.8,1.55,,9.22,
807,EXCU24,no,,,,,196.37,6.86,,116.64,
808,peli3f,no,,,,,9.52,0.57,,5.09,
809,MEDE36,no,,,,,214.55,17.51,<5 small holes,112.07,
810,EUTE35,no,,,,,327.45,9.17,"ants, tiny",212.12,
817,baae2g,yes,10.57,,,9.93,12.12,2.38,,5.73,
821,LEPA44,no,,,,,126.43,12.76,,74.17,bark very loose and falling off (peeling in layers)
827,BAAE37,no,,,,,459.5,35.71,,218.02,
828,lepa2b,no,,,,,15.02,2.67,,9.46,
829,acpa4a,no,,,,,16.59,0.48,,10.98,
837,EXCU31,no,,,,,303,7.9,,185.09,
839,alli3b,no,,,,,16.87,0.62,,10.95,
846,eusc2b,no,,covered in black spots (fungus?),,,7.66,0.38,,4.44,
849,PELI32,no,,,,,405.2,16.46,"1 hole, springtails",217.87,
852,ripi2a,no,,,,,18.32,0.59,,8.2,
856,EUTE13,no,,covered in black spots (fungus?),,,491.64,14.78,springtails,291.86,
860,isan3f,no,,,,,7.57,0.4,,4.5,
862,cota5c,yes,4.58,,,4.22,4.27,0.96,,3.08,
869,alli1e,no,,,,,13.48,0.37,,8.34,
870,baae3j,no,,,,,13.04,0.51,,6.49,
872,basp1j,no,,,,,12.3,0.63,,5.88,
875,BAAE19,no,,,,,164.66,7.26,,73.59,
877,cali3g,no,,,,,11.26,0.48,,6.24,
