SamplingDate,SampleType,StemSize,StemCode,Site,Age,Treatment,Plot,Tree,Harvest,SampleCode,TubeID,ExtractionDate,mgSample,NextGenID,NucleicAcidConc,260/280,260/230,VolWater ,VolDNA,PlateNumber,WellNumber ,SubmittedNucleicAcidConc,Chemistry,Pos,Na        ,Mg        ,Al       ,P         ,K       ,Ca      ,Mn      ,Fe      ,Cu    ,Zn      ,Ag      ,S         ,Cl        ,Si      
August2013,woodshaving,large,EUTE1,NA,NA,NA,NA,NA,NA,EUTE1,1,15/07/16,57.20,JRP-RP13-L-1,15.2,1.72,0.96,0.0,30.0,1,A1,10,yes,6,-886.507,1084.513,158.97,104.657,291.341,3432.431,187.757,18.888,3.35,19.974,786.478,-566.611,1117.697,-0.005
August2013,woodshaving,large,EUTE2,NA,NA,NA,NA,NA,NA,EUTE2,2,15/07/16,60.90,JRP-RP13-L-2,4.4,1.5,0.98,0.0,30.0,1,B1,10,yes,7,-96.862,437.624,175.421,183.293,86.922,4417.543,80.913,14.252,2.35,20.658,631.308,-587.917,1221.243,-0.008
August2013,woodshaving,large,EUTE3,NA,NA,NA,NA,NA,NA,EUTE3,3,15/07/16,59.80,JRP-RP13-L-3,25.3,1.01,2.48,0.0,30.0,1,C1,10,yes,8,-1413.61,1089.816,135.744,20.075,17.414,7448.332,287.443,5.145,1.96,13.725,620.275,-603.63,903.153,0.047
August2013,woodshaving,large,LEPA1,NA,NA,NA,NA,NA,NA,LEPA1,4,8/07/16,59.00,JRP-RP13-L-4,13.4,1.8,1.21,7.6,22.4,1,D1,10,yes,6,6135.998,-2190.33,280.27,31.994,41.12,554.985,33.47,65.85,5.377,3.865,672.441,-323.604,618.211,0.01
August2013,woodshaving,large,LEPA2,NA,NA,NA,NA,NA,NA,LEPA2,5,8/07/16,60.00,JRP-RP13-L-5,10.3,1.9,0.6,0.9,29.1,1,E1,10,yes,7,9015.114,-2893.48,293.684,57.527,-21.968,545.456,23.794,56.282,3.668,4.063,455.899,-315.622,851.855,0.006
August2013,woodshaving,large,LEPA3,NA,NA,NA,NA,NA,NA,LEPA3,6,8/07/16,64.00,JRP-RP13-L-6,26.2,1.45,0.55,18.5,11.5,1,F1,10,yes,8,2443.163,-117.475,152.368,57.108,581.292,1143.205,66.151,65.241,3.158,2.938,498.067,-261.63,241.997,0.062
August2013,woodshaving,large,LEPA4,NA,NA,NA,NA,NA,NA,LEPA4,7,8/07/16,64.00,JRP-RP13-L-7,17.8,1.79,1.23,13.1,16.9,1,G1,10,yes,9,1312.117,416.071,143.578,154.4,264.091,642.264,43.706,66.406,4.47,5.722,691.953,-204.238,595.983,0.078
August2013,woodshaving,large,EUSC1,NA,NA,NA,NA,NA,NA,EUSC1,8,15/07/16,56.60,JRP-RP13-L-8,33.2,1.33,0.79,0.0,30.0,1,H1,10,yes,3,-1355.95,1048.786,162.241,44.103,750.309,4014.477,217.954,10.431,2.893,10.634,608.271,-719.298,1714.542,0.007
August2013,woodshaving,large,EUSC2,NA,NA,NA,NA,NA,NA,EUSC2,9,15/07/16,60.30,JRP-RP13-L-9,1.54,1.46,0.91,0.0,30.0,1,A2,10,yes,4,-1548.87,2177.11,138.813,82.539,971.312,4229.824,220.598,8.992,2.158,8.012,733.957,-550.873,1777.809,-0.024
August2013,woodshaving,large,EUSC3,NA,NA,NA,NA,NA,NA,EUSC3,10,15/07/16,59.10,JRP-RP13-L-10,35.6,1.17,0.82,0.0,30.0,1,B2,10,yes,5,-695.989,1346.416,147.197,61.508,743.22,2935.418,252.687,3.744,3.227,9.714,589.888,-749.235,1913.451,0.032
August2013,woodshaving,large,ANBA1,NA,NA,NA,NA,NA,NA,ANBA1,11,8/07/16,61.00,JRP-RP13-L-11,26.5,2.01,1.89,18.7,11.3,1,C2,10,yes,7,-217.941,988.7,220.694,194.108,3151.408,4115.941,169.812,49.401,3.705,23.765,493.463,-510.175,5265.961,-0.01
August2013,woodshaving,large,ANBA2,NA,NA,NA,NA,NA,NA,ANBA2,12,8/07/16,62.00,JRP-RP13-L-12,2.2,1.74,0.87,0.0,30.0,1,D2,2.2,yes,8,-589.307,1690.08,187.422,100.732,1902.772,4533.045,79.107,40.627,3.213,20.693,578.545,-501.713,3458.922,-0.018
August2013,woodshaving,large,ANBA3,NA,NA,NA,NA,NA,NA,ANBA3,13,8/07/16,60.00,JRP-RP13-L-13,26.5,1.96,1.54,18.7,11.3,1,E2,10,yes,9,-2199.4,1724.19,169.057,132.786,1790.037,7284.056,64.884,74.477,2.972,41.114,476.866,-445.475,2690.652,-0.005
August2013,woodshaving,large,PELI1,NA,NA,NA,NA,NA,NA,PELI1,14,15/07/16,61.30,JRP-RP13-L-14,13.6,1.91,1.81,7.9,22.1,1,F2,10,yes,3,3326.732,-1210.3,192.367,78.849,297.462,577.599,63.022,49.706,2.993,21.617,775.105,-718.115,115.762,0.063
August2013,woodshaving,large,PELI2,NA,NA,NA,NA,NA,NA,PELI2,15,15/07/16,56.40,JRP-RP13-L-15,6.4,2.03,1.93,0.0,30.0,1,G2,6.4,yes,4,11528.59,-5729.47,413.278,132.249,394.212,358.9,52.502,28.692,0.614,13.504,529.322,-702.951,97.026,0.018
August2013,woodshaving,large,PELI3,NA,NA,NA,NA,NA,NA,PELI3,16,8/07/16,58.00,JRP-RP13-L-16,13.6,1.85,1.19,7.9,22.1,1,H2,10,yes,5,4930.359,-1701.93,223.218,67.054,236.93,540.544,53.722,52.151,3.083,22.872,589.779,-686.861,57.792,0.061
August2013,woodshaving,large,JASC1,NA,NA,NA,NA,NA,NA,JASC1,17,8/07/16,57.00,JRP-RP13-L-17,41.5,1.93,1.49,22.8,7.2,1,A3,10,yes,3,2245.189,-197.478,132.87,101.09,616.917,740.462,243.756,78.904,5.673,16.161,669.245,-514.783,424.108,0.092
August2013,woodshaving,large,JASC2,NA,NA,NA,NA,NA,NA,JASC2,18,8/07/16,60.00,JRP-RP13-L-18,38,1.88,2.1,22.1,7.9,1,B3,10,yes,4,2182.532,-120.586,155.474,83.297,370.497,927.664,236.129,38.18,3.464,6.876,478.479,-599.837,260.861,0.076
August2013,woodshaving,large,JASC3,NA,NA,NA,NA,NA,NA,JASC3,19,8/07/16,62.00,JRP-RP13-L-19,34.6,1.98,1.27,21.3,8.7,1,C3,10,yes,5,9633.57,-4887.75,376.738,92.646,153.057,546.383,98.056,44.134,3.019,4.13,658.112,-604.705,464.383,0.028
August2013,woodshaving,large,BAAE1,NA,NA,NA,NA,NA,NA,BAAE1,20,15/07/16,62.40,JRP-RP13-L-20,1.6,3.27,0.79,0.0,30.0,1,D3,1.6,yes,10,180.98,1089.352,189.63,162.136,1401.735,2083.124,243.104,24.304,3.554,5.175,743.553,-291.317,3146.395,0.029
August2013,woodshaving,large,BAAE2,NA,NA,NA,NA,NA,NA,BAAE2,21,11/07/16,62.10,JRP-RP13-L-21,4,1.45,0.17,0.0,30.0,1,E3,4,yes,1,809.612,718.449,179.005,153.557,1428.794,991.282,138.715,18.862,2.887,3.577,654.174,-453.991,2963.504,0.021
August2013,woodshaving,large,BAAE3,NA,NA,NA,NA,NA,NA,BAAE3,22,15/07/16,61.50,JRP-RP13-L-22,9.6,2.18,0.86,0.0,30.0,1,F3,9.6,yes,2,615.118,812.828,166.543,219.325,1504.828,1106.806,101.034,33.744,3.746,2.964,863.354,-402.337,2721.934,-0.012
August2013,woodshaving,large,PEPU1,NA,NA,NA,NA,NA,NA,PEPU1,23,15/07/16,57.50,JRP-RP13-L-23,3.1,3.04,0.22,0.0,30.0,1,G3,3.1,yes,6,38.21,921.608,125.301,163.298,584.223,1115.671,38.325,73.293,2.621,215.66,454.292,-739.149,1514.535,0.099
August2013,woodshaving,large,PEPU2,NA,NA,NA,NA,NA,NA,PEPU2,24,8/07/16,61.00,JRP-RP13-L-24,8.1,2.18,1.49,0.0,30.0,1,H3,8.1,yes,7,2056.394,-97.462,144.17,-8.276,383.677,720.669,32.751,34.5,1.939,16.799,560.337,-784.826,605.625,0.112
August2013,woodshaving,large,PEPU3,NA,NA,NA,NA,NA,NA,PEPU3,25,15/07/16,65.30,JRP-RP13-L-25,9.4,2.13,1.39,0.0,30.0,1,A4,9.4,yes,8,3149.358,-64.41,142.925,44.679,431.185,1009.234,49.011,32.177,1.68,46.829,685.97,-717.649,965.302,0.055
August2013,woodshaving,large,ACPA1,NA,NA,NA,NA,NA,NA,ACPA1,26,8/07/16,63.00,JRP-RP13-L-26,8.7,1.89,1.57,0.0,30.0,1,B4,8.7,yes,1,837.014,391.081,114.915,38.891,703.436,2000.233,5.382,28.578,1.65,3.387,511.658,-744.383,87.6,0.087
August2013,woodshaving,large,ACPA3,NA,NA,NA,NA,NA,NA,ACPA3,27,8/07/16,55.00,JRP-RP13-L-27,48.9,1.98,2.02,23.9,6.1,1,C4,10,yes,2,-423.342,542.471,180.798,134.141,634.743,3919.241,2.876,13.768,2.597,1.982,642.969,-803.954,237.089,0.013
August2013,woodshaving,large,ACPA4,NA,NA,NA,NA,NA,NA,ACPA4,28,8/07/16,63.00,JRP-RP13-L-28,13.5,1.69,0.56,7.8,22.2,1,D4,10,yes,3,-657.101,1060.094,122.011,52.945,895.734,3990.244,5.77,29.599,2.074,5.371,543.996,-754.144,291.757,0.01
August2013,woodshaving,large,ALLI1,NA,NA,NA,NA,NA,NA,ALLI1,29,15/07/16,61.30,JRP-RP13-L-29,23.7,2.11,1.99,17.3,12.7,1,E4,10,yes,4,-3119.86,1355.448,81.404,68.466,1280.411,4258.507,30.63,29.98,1.589,22.1,296.992,-652.024,673.902,0.067
