"","ITSoo_OTUa_41","ITSoo_OTUa_268","ITSoo_OTUa_1468","ITSoo_OTUa_461","ITSoo_OTUa_850","ITSoo_OTUa_2033","ITSoo_OTUa_423","ITSoo_OTUa_523","ITSoo_OTUa_1639","ITSoo_OTUa_5210","ITSoo_OTUa_3069","ITSoo_OTUa_3079","ITSoo_OTUa_4638"
"acpa1",0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPA3",0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPA4",0,0,0,0,0,0,0,0,0,0,0,0,0
"alli1",0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLI1",0,0,0,1,0,0,0,0,0,0,0,0,0
"alli2",0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLI2",0,0,0,0,0,0,0,0,0,0,0,0,0
"Alli3",0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLI3",0,0,0,0,0,0,0,1,0,1,0,0,0
"anab3",0,1,0,0,0,0,0,0,0,0,2,0,0
"ANBA1",0,0,0,0,0,0,0,0,0,0,0,0,0
"anba2",0,0,0,0,0,0,0,0,0,0,0,0,0
"ANBA3",0,0,0,0,0,0,0,0,0,0,0,0,0
"baae1",0,0,0,0,0,0,0,0,0,0,0,0,0
"baae2",0,0,0,0,0,1,0,0,0,0,0,0,0
"baae3",0,0,0,0,0,0,0,0,0,0,0,0,0
"caliA",0,0,0,0,0,0,1,0,0,0,0,0,0
"caliB",0,0,0,0,0,0,0,0,0,0,0,0,0
"cota",0,0,0,0,0,0,0,0,0,0,0,0,0
"EUSC1",0,0,0,0,0,0,0,0,0,0,0,0,0
"EUSC3",0,0,0,0,0,0,0,0,0,0,0,0,0
"eute1",0,0,0,0,0,0,0,0,0,0,0,0,0
"eute3",0,0,0,0,0,0,0,0,0,0,0,0,0
"excu1",0,0,0,0,0,0,0,0,0,0,0,0,0
"excu2",0,0,0,0,0,0,0,0,0,0,0,34,0
"EXCU2",0,0,0,0,0,0,0,0,0,0,0,0,0
"excu3",0,0,0,0,0,0,0,0,0,0,0,0,0
"EXCU3",0,0,0,0,0,0,0,0,0,0,0,0,0
"haseA",0,1,0,0,0,0,0,0,0,0,0,0,0
"haseB",0,0,0,0,0,0,0,0,0,0,0,0,0
"isanA",0,0,0,0,0,0,0,0,0,0,0,0,20
"jasc1",0,0,0,0,0,0,0,0,0,0,0,0,0
"JASC1",0,0,0,0,0,0,0,0,0,0,0,0,0
"JASC2",0,0,0,0,0,0,0,0,0,0,0,0,0
"jasc3",0,0,0,0,0,0,0,0,0,0,0,0,0
"JASC3",0,0,0,0,0,0,0,0,0,0,0,0,0
"leerD",0,0,0,0,0,0,0,0,0,0,0,0,0
"leerE",0,0,0,0,0,0,0,0,0,0,0,0,0
"mede1",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEDE2",0,0,0,0,0,0,0,0,0,0,0,0,0
"mede3",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEDE3",0,0,0,0,0,0,0,0,0,0,0,0,0
"olst",0,0,0,0,0,0,0,0,0,0,0,0,0
"peli1",0,0,0,0,0,0,0,0,78,0,0,0,0
"PELI1",1,0,0,0,0,0,0,0,12,0,0,0,0
"peli3",0,2,0,0,0,0,0,0,26,0,0,0,0
"PELI3",0,0,0,0,0,0,1,1,2,0,0,0,0
"penu",1,0,0,0,1,0,0,0,0,0,0,0,0
"penuA",0,0,1,0,0,0,0,0,0,0,0,0,0
"penuB",0,0,0,0,0,0,0,0,0,0,0,0,0
"pepu1",0,0,0,1,0,0,0,0,0,0,0,0,0
"ripi",0,0,0,0,0,0,0,0,0,0,1,0,0
"ripiA",1,0,0,0,0,0,0,0,0,0,0,0,0
