Family,Binomial,Code,Collection site,Fine branch (1-2 cm diameter),Wood (5-9 cm diameter)
Casuarinaceae,Allocasuarina littoralis,Alli,Castlreagh,x,x
Ericaceae,Leucopogon ericoides,Leer,Agnes Banks,x,
Euphorbiaceae,Ricinocarpus pinifolius,Ripi,Agnes Banks,x,
Fabaceae,Acacia elongata,Acel,Agnes Banks,x,
Fabaceae,Acacia parramattensis,Acpa,Castlreagh,x,x
Fabaceae,Jacksonia scoparia,Jasc,UWS Flux,x,x
Myrtaceae,Angophora bakeri,Anba,Castlreagh,x,x
Myrtaceae,Callistemon linearis,Cali,Agnes Banks,x,
Myrtaceae,Eucalyptus sclerophylla,Eusc,Castlreagh,x,x
Myrtaceae,Eucalyptus tereticornis,Eute,UWS near Face,x,x
Myrtaceae,Leptospermum parvifolium,Lepa,Agnes Banks,x,x
Myrtaceae,Melaleuca decora,Mede,UWS Flux,x,x
Olacaceae,Olax stricta,Olst,Agnes Banks,x,
Proteaceae,Banksia aemula,Baae,Agnes Banks,x,x
Proteaceae,Banksia spinulosa,Basp,Castlreagh,x,
Proteaceae,Conospermum taxifolium,Cota,Agnes Banks,x,
Proteaceae,Hakea sericea,Hase,Castlreagh,x,
Proteaceae,Isopogon anemonifolius,Isan,Agnes Banks,x,
Proteaceae,Persoonia linearis,Peli,Castlreagh,x,x
Proteaceae,Persoonia nutans,Penu,Agnes Banks,x,
Proteaceae,Petrophile pulchella,Pepu,Agnes Banks,x,x
Santalaceae,Exocarpos cupressiformis,Excu,Castlreagh,x,x
