"term","num_total","num_signif","num_pos","num_neg","percPos","percNeg","percNonSignif","source"
"barkthick",138,43,8,35,5.8,25.36,68.84,"run1"
"C",138,29,9,20,6.52,14.49,78.99,"run1"
"Ca",138,54,16,38,11.59,27.54,60.87,"run1"
"density",138,6,3,3,2.17,2.17,95.65,"run1"
"Fe",138,47,31,16,22.46,11.59,65.94,"run1"
"K",138,58,51,7,36.96,5.07,57.97,"run1"
"Mn",138,31,19,12,13.77,8.7,77.54,"run1"
"N",138,29,23,6,16.67,4.35,78.99,"run1"
"P",138,35,3,32,2.17,23.19,74.64,"run1"
"sizesmall",138,54,29,25,21.01,18.12,60.87,"run1"
"waterperc",138,53,12,41,8.7,29.71,61.59,"run1"
"Zn",138,38,34,4,24.64,2.9,72.46,"run1"
"barkthick",138,43,8,35,5.8,25.36,68.84,"run2"
"C",138,29,9,20,6.52,14.49,78.99,"run2"
"Ca",138,54,16,38,11.59,27.54,60.87,"run2"
"density",138,6,3,3,2.17,2.17,95.65,"run2"
"Fe",138,47,31,16,22.46,11.59,65.94,"run2"
"K",138,58,51,7,36.96,5.07,57.97,"run2"
"Mn",138,31,19,12,13.77,8.7,77.54,"run2"
"N",138,29,23,6,16.67,4.35,78.99,"run2"
"P",138,35,3,32,2.17,23.19,74.64,"run2"
"sizesmall",138,54,29,25,21.01,18.12,60.87,"run2"
"waterperc",138,53,12,41,8.7,29.71,61.59,"run2"
"Zn",138,38,34,4,24.64,2.9,72.46,"run2"
"barkthick",138,43,8,35,5.8,25.36,68.84,"run3"
"C",138,29,9,20,6.52,14.49,78.99,"run3"
"Ca",138,54,16,38,11.59,27.54,60.87,"run3"
"density",138,6,3,3,2.17,2.17,95.65,"run3"
"Fe",138,47,31,16,22.46,11.59,65.94,"run3"
"K",138,58,51,7,36.96,5.07,57.97,"run3"
"Mn",138,31,19,12,13.77,8.7,77.54,"run3"
"N",138,29,23,6,16.67,4.35,78.99,"run3"
