"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.699388010115471,0.00816861128520094,85.6189608853774,0
"woodTraitDist",0.119095319276907,0.00458137730485227,25.9955274041214,4.89881618490556e-133
"sizesmall",-0.0163858681028376,0.00832880233458144,-1.96737387256785,0.0492432294666035
"I(woodTraitDist^2)",-0.015525491438337,0.000714605736042819,-21.7259541244526,1.58253937889877e-96
"woodTraitDist:sizesmall",-0.0132243565296935,0.00266815780441945,-4.95636221657846,7.63056855244825e-07
"(Intercept)",0.711164068672123,0.00861702430345779,82.5301221892517,0
"woodPhyloDist",0.00213568218204198,8.8933805775505e-05,24.0142897677523,2.77076481725752e-116
"sizesmall",-0.0356886097573037,0.0095092618946753,-3.75303679219178,0.000178164103206779
"I(woodPhyloDist^2)",-5.36566113778987e-06,2.6618401453826e-07,-20.1577136294134,1.25922018402725e-84
"woodPhyloDist:sizesmall",-9.15625133408942e-05,4.18487578705899e-05,-2.18793861514446,0.0287543977376102
