"","term","Df","AIC","F","pval"
"+ size","size",1,328.466376291945,7.23632866909693,0.005
"+ waterperc","waterperc",1,326.379293016682,4.04701614825252,0.005
"+ barkthick","barkthick",1,324.45222130117,3.84582613446352,0.005
"+ C","C",1,322.833137402948,3.50229461059217,0.005
"+ Ca","Ca",1,321.789949903828,2.90596340398588,0.005
"+ K","K",1,321.065858127594,2.56979276066127,0.005
"+ P","P",1,320.055870842503,2.81328478702275,0.005
"+ density","density",1,319.150650933152,2.68476687560038,0.005
"+ N","N",1,318.265287502339,2.63717386147179,0.005
"+ Mn","Mn",1,317.598249593816,2.40822466905781,0.005
"+ Fe","Fe",1,317.432654104778,1.92890243512663,0.015
