"","modelName","AIC","deltaAIC"
"1","C",70244.3730274507,85.3020900915435
"2","waterperc",70246.5047062068,83.1704113354062
"3","barkthick",70273.9648375877,55.71027995451
"4","density",70277.5290906995,52.1460268426745
"5","Ca",70301.7879784539,27.887139088285
"6","base",70329.6751175422,0
"7","P",70349.6760790271,-20.0009614848532
"8","N",70370.3465674511,-40.6714499088412
"9","K",70398.2819641231,-68.6068465809076
"10","Zn",70423.6942572791,-94.0191397369199
"11","Fe",70869.7225707256,-540.04745318339
"12","Mn",72483.2282730319,-2153.55315548967
