qseqid	sseqid	evalue	bitscore	length	nident	mismatch	gapopen	slength	taxonomy	kingdom	phylum	class	order	family	genus	species	qlength	identity	coverage
ITSall_OTUa_1	SH216672.07FU_GQ304521	1.1e-175	618	347	345	2	0	635	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae;	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	Olpidium_brassicae	347	0.994236311239193	1
ITSall_OTUa_10006	SH191316.07FU_KC131365	1.64e-127	457	256	255	1	0	558	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	257	0.99609375	0.996108949416342
ITSall_OTUa_1003	SH182425.07FU_KY984006	5.59e-127	455	252	252	0	0	501	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_sp;	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	NA	252	1	1
ITSall_OTUa_10053	SH182920.07FU_KX788207	6.96e-126	452	257	255	1	1	690	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeriopsis;s__Phaeosphaeriopsis_sp;	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriopsis	NA	257	0.992217898832685	1
ITSall_OTUa_1006	SH219673.07FU_KX262965	1.06e-149	531	297	296	1	0	511	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;s__Gibberella_fujikuroi;	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_fujikuroi	297	0.996632996632997	1
ITSall_OTUa_10064	undefined_KX777119	5.92e-77	289	240	210	25	3	250	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	298	0.875	0.805369127516778
ITSall_OTUa_10078	SH177594.07FU_NR_073266	3.91e-124	446	336	302	26	3	600	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Chionosphaeraceae;g__Kurtzmanomyces;s__Kurtzmanomyces_nectairei;	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Chionosphaeraceae	Kurtzmanomyces	Kurtzmanomyces_nectairei	330	0.898809523809524	1.01818181818182
ITSall_OTUa_1008	SH013308.07FU_KP889412	4.91e-122	439	284	269	11	2	1185	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	284	0.947183098591549	1
ITSall_OTUa_10083	undefined_KP891555	7.19e-159	562	316	314	2	0	316	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	336	0.993670886075949	0.94047619047619
ITSall_OTUa_10092	undefined_KT244883	2.75e-106	387	279	257	17	5	275	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	287	0.921146953405018	0.97212543554007
